"indicator","issue_exposure","impact_materiality","total_exposure","article_count","esg_category"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,폐기물 배출","0.01","0.0","6.0","6","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,지역사회 ESG 파트너십,부패예방 및 청렴 강화","0.01","0.0","3.0","3","H"
"유해 폐기물관리,청정 재생에너지,탄소배출량,ESG 관련 캠페인","0.0","0.01","0.4","1","H"
"회계의 투명성 관리,ESG 운영위원회의 다양성","0.01","0.0","6.0","6","H"
"폐기물 배출,탄소배출량,ESG 관련 캠페인","0.01","0.0","3.0","3","H"
"지역사회 ESG 파트너십,ESG 교육과정 및 교수학습 방법","0.0","0.01","1.4","2","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,청정 재생에너지","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,폐기물 배출","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 운영위원회의 다양성,ESG 관련 학생 동아리","0.01","0.0","3.0","3","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,부패예방 및 청렴 강화","0.01","0.0","4.0","4","H"
"폐기물 배출,유해 폐기물관리,탄소배출량","0.01","0.0","3.0","3","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화,ESG 운영위원회의 다양성","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,회계의 투명성 관리","0.01","0.0","4.0","4","H"
"유해 폐기물관리,작업장의 건강 및 안전","0.01","0.0","8.0","8","H"
"회계의 투명성 관리,ESG 위원회 조직","0.01","0.0","6.0","6","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,지역사회 ESG 파트너십","0.01","0.0","6.0","6","H"
"ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리","0.01","0.0","5.0","5","H"
