title,matched_categories_ml,matched_scores_ml,source
"[FOCUS 경기] 고양시, 원도심 활성 '원당재창조 프로젝트'",,,industry_risk
"SK이노 김준 ""친환경, 이젠 성과로""...계열사 CEO도 '변화' 강조",ESG 위원회 조직,0.541,industry_risk
[신년사] 김준 부회장 “친환경 사업 가속…기업 가치 제고”,ESG 위원회 조직,0.507,industry_risk
김준 SK이노베이션 부회장 “미래 60년 위해 친환경사업 성과 창출” 강...,"ESG 위원회 조직,지역사회 ESG 교육 프로그램","0.485,0.434",industry_risk
"[신년사] 김준 SK이노 부회장 ""친환경 사업으로 기업 가치 높일 것""",ESG 위원회 조직,0.419,industry_risk
"김준 SK이노베이션 부회장 ""친환경사업 실행 가속화…기업가치 제고""",ESG 위원회 조직,0.497,industry_risk
"폐광지역 7곳, 26년간 4조 썼지만 인구 급감",,,industry_risk
"부천시 2023년 5대 시정계획 발표…""새롭게 도약하는 원년으로""",,,industry_risk
"부천시, 2023년 5대 시정계획 발표... 시 승격 50주년 계기 새로운 부천...",,,industry_risk
"부천시 5대 시정 발표…""주거·환경·산업·문화·교통·일자리 자족도...",,,industry_risk
"‘폭설’ 오는 추운 겨울날 에어컨 신제품 내놓은 삼성, 도대체 왜? [비...",,,industry_risk
탈 대덕 막는 해법은 '제2연구단지',,,industry_risk
국제위러브유운동본부 22년 여정에서 본을 찾다,,,industry_risk
"진주상공회의소, 신년휘호 '연비어약' 선정",,,industry_risk
"포항시, 세계적인 바이오 허브 도시 꿈꾼다",,,industry_risk
"포항시, 창의·융합·혁신으로 ‘연구 중심 의대’ 설립 본격화",,,industry_risk
"바이오 허브 도시 포항, 글로벌 웅비 나선다",,,industry_risk
"포항시, 창의·융합·혁신으로 ‘세계적인 바이오 허브 도시’ 도약 박...",,,industry_risk
"[포커스] 조용익 부천시장 ""올해 베드타운 이미지 혁파""",,,industry_risk
"조용익 부천시장, 올해 5대 시정계획 발표… ‘새롭게 도약하는 원년으...",,,industry_risk
삼성 3세대 무풍에어컨 출격…국내 1위 수성,,,industry_risk
"삼성전자, 2023년형 에어솔루션 신제품 공개",,,industry_risk
갤럭시S23 사전예약 알림 신청하면 명품 지갑이 손안에?,,,industry_risk
"[2023 경남 재도약 원년] ""시민 삶 희망과 행복으로 채워 '부강한 진주'...",,,industry_risk
이강덕 시장 “창의·융합·혁신으로 세계로 도약”,,,industry_risk
"가톨릭대, '탄소중립 실천' 공로로 환경부장관 표창…국내大 최초",,,industry_risk
"가톨릭대, 탄소중립 실천 성과...'환경부 장관 표창'","ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리","0.439,0.401",industry_risk
1시민 1행복 프로젝트로 ‘다 이로운 익산’ 실현,,,industry_risk
"정헌율 시장 ""5대 역점시책 민생·경제 아우르는 대도약 완성""",,,industry_risk
1시민 1행복 '다~이로운 익산' 실현,,,industry_risk
김미경 은평구청장 '과감한 개발로 지속 성장' 비전 선포,,,industry_risk
"이재영 증평군수, 새해 정부예산 확보 발걸음",,,industry_risk
이재영 증평군수 농식품부 찾아 현안사업 지원 요청,,,industry_risk
정황근 장관 “식량자급률・농식품 수출 상승 집중”,,,industry_risk
혁신 넘어 미래로… 농식품 수출 100억 달러 시대 연다,지역사회 ESG 파트너십,0.41,industry_risk
"식량자급률ㆍ농식품 수출 올리고, 유통비용ㆍ농가 경영부담 낮춘다",,,industry_risk
"[업무보고] 농식품부, 농식품 수출 100억달러 목표…'온라인 가락시장'...",,,industry_risk
농식품부 새해 업무 보고... 4대 정책목표 제시,부패예방 및 청렴 강화,0.426,industry_risk
"서울 강북구, 이달 18일까지 洞 신년인사회 진행",,,industry_risk
"강북구, 동 신년인사회 개최⋯주민 목소리 현장서 듣는다",,,industry_risk
"목포시, 친환경선박·수리조선 산업 집중 육성",,,industry_risk
[Who Is ?] 존 림 삼성바이오로직스 대표이사 사장,ESG 위원회 조직,0.409,industry_risk
[전국 주요 신문 톱뉴스](27일 조간),,,industry_risk
[기업 신년사] 한화그룹·한미약품그룹·SK이노베이션 外,,,industry_risk
【신년사】조규일 진주시장,,,industry_risk
"[신년사] 조규일 진주시장, ""더 크고 부강한 진주 미래 열 것""",,,industry_risk
"[2023신년사] 조규일 진주시장 ""함께 잘사는 부강한 진주 만들기 원년으...",,,industry_risk
강원특별자치도법 담길 특례 막바지 정비…권역별 공청회 착수,,,industry_risk
창업인프라·투자금 확 늘리는 경남,,,industry_risk
"진주상공회의소, 2일 오후 2023 새해인사회 개최",,,industry_risk
진주상의가 던진 새해 화두는 '연비어약',,,industry_risk
"강북구, 신년 인사회 개최",,,industry_risk
[2023 농식품부 업무보고] 가루쌀·밀·콩 생산 확대 ‘식량안보’…공...,,,industry_risk
"정황근 ""올해 벼 재배 69만ha까지 감축…쌀 수급안정 이루겠다""",,,industry_risk
"경남도, 서부경남 대규모 공모사업 3건 846억 선정 도전",,,industry_risk
"경남도, 올해 서부권 산업경제 공모사업 3건 총 846억원 도전",,,industry_risk
